;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
Cï¿½D;CLASSIFICAï¿½ï¿½O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
384;CONVÊNIO 118;IMPORTADO;2387,64;2387,64;2387,64;2387,64;0;2387,64;2876,67;2387,64;2387,64;0;0;2387,64;0;0;2387,64;0;2387,64;2387,64;0;0;2387,64;2387,64
396;TRIBUTADO;NACIONAL;43,84;44,38;0;44,38;0;43,84;0;44,11;44,38;0;0;45,49;0;43,84;43,84;0;44,38;44,38;0;0;43,84;0
397;TRIBUTADO;NACIONAL;100,07;100,07;0;101,29;0;0;0;0;0;0;0;0;0;100,07;100,07;100,68;101,29;101,29;103,83;0;100,07;0
398;TRIBUTADO;NACIONAL;301,54;301,54;0;305,22;0;0;0;0;0;0;0;0;0;301,54;301,54;303,37;305,22;305,22;312,85;0;301,54;0
405;CONVÊNIO 118;NACIONAL;340,35;340,35;340,35;340,35;0;340,35;379,93;340,35;340,35;0;0;340,35;0;0;340,35;0;340,35;340,35;0;0;340,35;340,35
411;TRIBUTADO;NACIONAL;593,76;593,76;0;622,3;0;0;0;0;0;0;0;0;0;561,58;527,31;565,21;568,96;568,96;584,32;0;645,65;0
412;TRIBUTADO;NACIONAL;0;0;0;1761,62;0;0;0;0;0;0;0;0;0;1690,82;0;1701,73;1712,77;1712,77;0;0;0;0
413;TRIBUTADO;NACIONAL;0;0;0;1074,13;0;0;0;0;0;0;0;0;0;969,32;0;975,59;982,06;982,06;0;0;0;0
415;TRIBUTADO;NACIONAL;217,58;220,37;0;228,42;0;0;0;0;0;0;0;0;0;207,85;195,33;209,19;210,55;210,55;216,16;0;217,58;0
424;TRIBUTADO;IMPORTADO;342,69;342,69;0;329,81;0;0;0;0;0;0;0;0;0;354,49;298,98;357,07;359,63;359,63;370,35;0;342,69;0
429;TRIBUTADO;IMPORTADO;78,94;78,94;0;79,9;0;78,94;0;79,42;79,9;0;0;81,9;0;78,94;78,94;0;79,9;79,9;0;0;78,94;0
433;TRIBUTADO;NACIONAL;259,39;259,39;0;265,06;0;0;0;0;0;0;0;0;0;245,75;230,78;261,09;248,99;248,99;255,72;0;259,31;0
434;CONVÊNIO 118;IMPORTADO;0;0;4284,32;4284,32;0;4284,32;4963,55;4284,32;4284,32;0;0;0;0;0;0;0;4284,32;4284,32;0;0;0;4284,32
453;ISENTO (EXCETO EM DF);IMPORTADO;2472,99;2472,99;2472,99;2472,99;0;2472,99;0;2472,99;2472,99;0;0;2472,99;0;2979,51;2979,51;0;3015,84;3015,84;0;0;2472,99;2472,99
456;TRIBUTADO;IMPORTADO;221,72;221,72;0;224,43;0;221,72;0;223,07;224,43;0;0;230,04;0;221,72;221,72;0;224,43;224,43;0;0;221,72;0
464;TRIBUTADO;IMPORTADO;71,46;71,46;0;72,33;0;71,46;0;71,89;72,33;0;0;74,14;0;71,46;71,46;0;72,33;72,33;0;0;71,46;0
468;TRIBUTADO;IMPORTADO;258,11;258,11;0;236,36;0;258,11;0;259,74;261,4;0;0;268,28;0;259,74;225,18;0;276,98;276,98;0;0;258,1;0
469;TRIBUTADO;NACIONAL;223,32;223,32;0;226,58;0;0;0;0;0;0;0;0;0;211,69;198,31;213,15;214,59;214,59;220,64;0;236,76;0
470;TRIBUTADO;NACIONAL;1231,08;1231,08;0;1249,08;0;0;0;0;0;0;0;0;0;1166,99;1093,21;1175,01;1182,99;1182,99;1216,34;0;1305,2;0
475;TRIBUTADO;NACIONAL;573,99;573,99;0;582,38;0;573,98;0;577,83;581,74;0;0;597,89;0;544,11;509,71;0;551,57;551,57;0;0;604,27;0
479;TRIBUTADO;IMPORTADO;1519,06;1539,32;0;1411,84;0;1519,03;0;1529,09;1539,29;0;0;1581,46;0;1579,33;1322,74;0;1603,46;1603,46;0;0;1519,06;0
480;TRIBUTADO;IMPORTADO;862;873,49;0;801,15;0;861,98;0;867,69;873,47;0;0;897,4;0;896,19;750,59;0;909,89;909,89;0;0;862;0
486;TRIBUTADO;NACIONAL;2190,76;2190,76;0;2190,76;0;0;0;0;0;0;0;0;0;2190,76;2190,76;2190,76;2190,76;2190,76;2190,76;0;2190,76;0
488;TRIBUTADO;IMPORTADO;1896;1922,67;0;1922,67;0;1896;0;1909,24;1922,67;0;0;1978,34;0;1922,67;1922,67;0;1922,67;1922,67;0;0;1896;0
489;TRIBUTADO;IMPORTADO;211,51;211,51;0;214,09;0;211,51;0;212,79;214,09;0;0;219,44;0;211,51;211,51;0;214,09;214,09;0;0;211,51;0
