CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
4418         ;22G21J                        ;090722    ;300724    ;1116      
4418         ;22G22J                        ;050722    ;300724    ;12        
4418         ;22G64K                        ;180722    ;300724    ;948       
4418         ;22G65K                        ;180722    ;300724    ;156       
4418         ;22G66K                        ;180722    ;300724    ;1224      
4418         ;22G67K                        ;180722    ;300724    ;972       
4418         ;22G68K                        ;180722    ;300724    ;1080      
4418         ;22G69K                        ;180722    ;300724    ;1188      
4418         ;22G81C                        ;070722    ;300724    ;936       
4418         ;22G82C                        ;090722    ;300724    ;1164      
4418         ;22G82M                        ;160722    ;300724    ;1056      
4418         ;22G83C                        ;090722    ;300724    ;528       
4418         ;22G845                        ;040722    ;300724    ;1176      
4418         ;22G846                        ;040722    ;300724    ;1128      
4418         ;22G847                        ;050722    ;300724    ;504       
4418         ;22G848                        ;050722    ;300724    ;1080      
4418         ;22G849                        ;050722    ;300724    ;1164      
4418         ;22G90A                        ;070722    ;300724    ;1164      
4418         ;22G90P                        ;190722    ;300724    ;1152      
4541         ;22G90H                        ;070722    ;300724    ;39        
4580         ;22H591                        ;260722    ;300724    ;82        
4631         ;2109068                       ;020721    ;300723    ;71        
4631         ;2114640                       ;231021    ;301023    ;437       
4701         ;22G312                        ;280622    ;300624    ;34        
4746         ;0007973                       ;080921    ;300923    ;32        
4746         ;0014806                       ;050722    ;300724    ;653       
4746         ;0015996                       ;260822    ;300824    ;130       
4746         ;0016611                       ;150922    ;300924    ;200       
4836         ;DFC4640A                      ;011221    ;301123    ;1017      
4849         ;AB-021/22M                    ;220622    ;300524    ;1877      
4863         ;22I40H                        ;080922    ;300924    ;43        
4863         ;22I46H                        ;130922    ;130924    ;108       
4961         ;22A391                        ;301221    ;301223    ;88        
4961         ;22A396                        ;301221    ;301223    ;64        
4983         ;22I17S                        ;160922    ;160924    ;204       
5010         ;21090803                      ;130921    ;300923    ;11        
5017         ;DFC4680A                      ;011221    ;301124    ;837       
5017         ;DFC4707A                      ;011221    ;301124    ;134       
5017         ;DFC4838A                      ;011221    ;301124    ;619       
5050         ;PTC6302A                      ;011221    ;301123    ;200       
5061         ;21081026                      ;050821    ;300823    ;145       
5063         ;21080978                      ;050821    ;300823    ;41        
5065         ;22H15R                        ;150822    ;300824    ;80        
5065         ;22H49F                        ;040822    ;300824    ;200       
5075         ;0246/21M                      ;090421    ;300323    ;2         
5112         ;9075066                       ;121121    ;301123    ;643       
5112         ;9075067                       ;121121    ;301123    ;12        
5129         ;2215850                       ;250822    ;300824    ;204       
5129         ;2216133                       ;060922    ;300924    ;153       
5129         ;2216134                       ;060922    ;300924    ;49        
5129         ;2216152                       ;040922    ;300924    ;156       
5129         ;2216153                       ;040922    ;300924    ;155       
5129         ;2216154                       ;040922    ;300924    ;63        
5130         ;2216514                       ;220922    ;300924    ;82        
5130         ;2216521                       ;220922    ;300924    ;195       
5130         ;2216522                       ;220922    ;300924    ;133       
5130         ;2216562                       ;220922    ;300924    ;208       
5130         ;2216567                       ;220922    ;300924    ;186       
5130         ;2216568                       ;220922    ;300924    ;193       
5155         ;O11647                        ;110521    ;300523    ;3037      
5155         ;O11703                        ;130521    ;300523    ;5682      
5155         ;O11704                        ;130521    ;300523    ;6420      
5155         ;O21667                        ;080622    ;300624    ;16        
5155         ;O22670                        ;260822    ;300824    ;704       
5174         ;1101/22                       ;290922    ;300824    ;91        
5174         ;1102/22                       ;300922    ;300824    ;90        
5223         ;22F38S                        ;210622    ;300624    ;18        
5223         ;22I52I                        ;140922    ;300924    ;30        
5290         ;22050792                      ;010522    ;300524    ;20        
5299         ;22J282                        ;260922    ;300924    ;176       
5299         ;22J862                        ;260922    ;260924    ;306       
5399         ;3225776                       ;010921    ;300923    ;8         
5399         ;3225815                       ;300822    ;300824    ;14        
5399         ;3225816                       ;300822    ;300824    ;516       
5525         ;22D93C                        ;050422    ;300424    ;17        
5626         ;110203C                       ;280622    ;300524    ;1484      
5671         ;AR-024/22                     ;180722    ;300624    ;56        
5684         ;DB22D126                      ;040422    ;300424    ;35        
5713         ;22H75E                        ;060822    ;060824    ;48        
5724         ;AY-045/21                     ;071121    ;301023    ;25        
5910         ;26584687                      ;190622    ;300624    ;208       
5937         ;PTD2191A                      ;010522    ;300424    ;5321      
6169         ;DFD0624A                      ;010222    ;300125    ;108       
6214         ;4Y8T                          ;300522    ;300424    ;909       
6300         ;064194                        ;170921    ;300923    ;317       
6360         ;0013069                       ;080422    ;300424    ;1         
6360         ;0013400                       ;010522    ;300524    ;229       
6360         ;0013401                       ;010522    ;300524    ;515       
6360         ;0013403                       ;010522    ;300524    ;2         
6360         ;0015691                       ;050822    ;300824    ;392       
6362         ;0006755                       ;160721    ;300723    ;132       
6362         ;0006756                       ;160721    ;300723    ;11        
6362         ;0008221                       ;150921    ;300923    ;268       
6362         ;0014608                       ;280622    ;300624    ;136       
6362         ;0014686                       ;010722    ;300724    ;281       
6362         ;16464                         ;010221    ;280223    ;61        
6362         ;16468                         ;010421    ;300423    ;8         
6362         ;16472                         ;010521    ;300523    ;97        
